extensionName,Note Taker (Not Tut),Eklentinin adı
extensionDescription,Not tutmak için araç çubuğuna buton ekler,Eklentinin tanımı
general,Genel Notlar,genel notlar
domain,Site Notları,site notları için isim
url,URL Notları,URL notları için isim
default,Varsayılan,Varsayılan yazı tipi
enabled,Açık,enabled yazısı
disabled,Kapalı,disabled yazısı
yes,Evet,Yes yazısı
no,Hayır,hayır text
ok,TAMAM,OK text
cancel,İptal,Cancel text
close,Kapat,Close text
whitelist,Beyazliste,whitelist
blacklist,Karaliste,blacklist
optionTheme,Tema,tema seçenekleri
optionThemeLight,Açık,light theme
optionThemeDark,Koyu,dark theme
optionBGColorLight,Arkaplan Rengi (Açık),background color light option
optionBGColorDark,Arkaplan Rengi (Koyu),background color dark option
optionTextColorLight,Metin Rengi (Açık),font color light option
optionTextColorDark,Metin Rengi (Koyu),font color dark option
optionWidth,Metin Kutusu Genişliği,textbox width
optionHeight,Metin Kutusu Yüksekliği,textbox height
optionFont,Font,font
optionFontSerif,Serif,Serif font option
optionFontSansSerif,Sans Serif,Sans Serif font option
optionFontMonospace,Monospace,Monospace font option
optionFontCustom,Özel,Custom font option
optionCustomFontCSS,Özel Font CSS,custom for css option
optionFontSize,Font Boyutu,font size option
optionDefaultDisplay,Varsayılan Görünüm,default display option
optionPrivateBrowsing,Gizli Gezinti için Site Notları,Private Browsing option
optionSubdomainsMode,Alt Alandı Modu,subdomains mode option
optionSubdomainsWhitelist,Alt Alanadlarını Zorla,enforcing subdomains
optionSubdomainsBlacklist,Alt Alanadlarını Yoksay,ignoring subdomains
optionNotificationBadge,Notification Badge,notification badge option
optionNotificationBadgeColor,Notification Badge Color,notif badge color option
optionBulletMode,Bullets,bullets option
optionBulletEnabledMode,Enabled + Bullets,enabled + bullets option
optionBGEnabledMode,Enabled + Background,enabled + background option
optionBulletTypes,Bullet Types,bullet types option
optionURLParams,URL Parameters In Site Notes,URL Params option
optionTabs,Number of Tabs,tabs option
optionPadding,Padding,padding option
optionTextDirection,Text Direction,direction option
optionLTR,Left to Right,Left to right direction option
optionRTL,Right to Left,Right to left direction option
optionPopupShortcut,Popup Shortcut,popup shortcut option
optionSidebarShortcut,Sidebar Shortcut,sidebar shortcut option
export,Export Notes and Options,export button
switchTheme,Switch to light theme,theme switch button title text
switchThemeDark,Switch to dark theme,theme switch button title text
openNewTab,Open in New Tab,Open in new title text
settings,Settings,Settings button title text
deleteNote,Are you sure you want to delete the note:,Delete confirmation
tab,Tab,Tab text (number of tab appears after text)
search,Search,Search bar palceholder text
newNote,New Note Name:,New note prompt
